scenario,seed,comparison_method,scenario_fingerprint,proposed_minus_method_total_decision_latency_ms,proposed_minus_method_coordination_latency_ms,proposed_minus_method_qos_satisfied,proposed_minus_method_infeasible,proposed_minus_method_changed_rules,proposed_minus_method_control_bytes
application_capacity:pressure=0.8,6,no_verification,410cb4d7c8ff6c9a6c5aca69f769e7f7743abe03c6247430b148762ecdc8809c,4.14711982011795,4.219174385070801,0,0,0,0
application_capacity:pressure=0.8,7,independent,93b7464b6cc9428709e966077d32daf16b52beb4dec8509264854c20baac2064,4.959769546985626,4.819758236408234,0,0,0,0
application_capacity:pressure=0.8,7,adjacent,93b7464b6cc9428709e966077d32daf16b52beb4dec8509264854c20baac2064,4.7432295978069305,4.638217389583588,0,0,0,0
application_capacity:pressure=0.8,7,no_verification,93b7464b6cc9428709e966077d32daf16b52beb4dec8509264854c20baac2064,4.311457276344299,4.278749227523804,0,0,0,0
application_capacity:pressure=0.8,8,independent,f84807140efbdb10ad5d080334d4e3df1df5beebf50d8dd028346fef485c7057,4.827395081520081,4.855811595916748,0,0,0,0
application_capacity:pressure=0.8,8,adjacent,f84807140efbdb10ad5d080334d4e3df1df5beebf50d8dd028346fef485c7057,4.684668034315109,4.6688951551914215,0,0,0,0
application_capacity:pressure=0.8,8,no_verification,f84807140efbdb10ad5d080334d4e3df1df5beebf50d8dd028346fef485c7057,4.118766635656357,4.335366189479828,0,0,0,0
application_capacity:pressure=0.8,9,independent,a99ca0086f2cf74ba327028c767a2e8a0d422836471412d20fe177cbd874787b,4.738282412290573,4.819795489311218,0,0,0,0
application_capacity:pressure=0.8,9,adjacent,a99ca0086f2cf74ba327028c767a2e8a0d422836471412d20fe177cbd874787b,4.637923091650009,4.635881632566452,0,0,0,0
application_capacity:pressure=0.8,9,no_verification,a99ca0086f2cf74ba327028c767a2e8a0d422836471412d20fe177cbd874787b,4.251886159181595,4.302509129047394,0,0,0,0
application_capacity:pressure=0.8,10,independent,43d5b35305c448f189adfebd5874de1c181b0169cf15e3b824198bc59c14d360,4.85113263130188,4.784442484378815,0,0,0,0
application_capacity:pressure=0.8,10,adjacent,43d5b35305c448f189adfebd5874de1c181b0169cf15e3b824198bc59c14d360,4.741225391626358,4.601225256919861,0,0,0,0
application_capacity:pressure=0.8,10,no_verification,43d5b35305c448f189adfebd5874de1c181b0169cf15e3b824198bc59c14d360,4.338424652814865,4.26613911986351,0,0,0,0
application_capacity:pressure=0.8,11,independent,e230487280776d7a76be5f57739f2ff25e1b36badda8b946526c24dc76876bd8,4.577524960041046,4.791390150785446,0,0,0,0
application_capacity:pressure=0.8,11,adjacent,e230487280776d7a76be5f57739f2ff25e1b36badda8b946526c24dc76876bd8,4.64944913983345,4.6062171459198,0,0,0,0
application_capacity:pressure=0.8,11,no_verification,e230487280776d7a76be5f57739f2ff25e1b36badda8b946526c24dc76876bd8,4.209946841001511,4.2709410190582275,0,0,0,0
application_capacity:pressure=0.8,12,independent,8484ac74f3b1774c9dc1d48fb72a504c06963c12de53dabfe4b5a0f891f60f62,4.677318036556244,4.756808280944824,0,0,0,0
application_capacity:pressure=0.8,12,adjacent,8484ac74f3b1774c9dc1d48fb72a504c06963c12de53dabfe4b5a0f891f60f62,4.579678177833557,4.5765116810798645,0,0,0,0
application_capacity:pressure=0.8,12,no_verification,8484ac74f3b1774c9dc1d48fb72a504c06963c12de53dabfe4b5a0f891f60f62,4.049941897392273,4.238024353981018,0,0,0,0
application_capacity:pressure=0.8,13,independent,fa9bbf49b5db45b95357d972d7b277ebb0210d97b15b06a76833783602b8cc5a,4.638068377971649,4.773281514644623,0,0,0,0
application_capacity:pressure=0.8,13,adjacent,fa9bbf49b5db45b95357d972d7b277ebb0210d97b15b06a76833783602b8cc5a,4.602551460266113,4.588503390550613,0,0,0,0
