panel,bootstrap_iterations,ci_lower,ci_upper,cluster_count,denominator,experiment,mean,method_id,method_label,metric,mode,numerator,p50,p95,sample_count,series,x_name,x_value
b,5000,100.0,100.0,22,,exp3,100.0,full_rebuild,Full-Rebuild,rule_change_ratio_percent,paper,,100.0,100.0,63,affected_agents,affected_agent_count,10.0
b,5000,100.0,100.0,15,,exp3,100.0,full_rebuild,Full-Rebuild,rule_change_ratio_percent,paper,,100.0,100.0,39,affected_agents,affected_agent_count,11.0
b,5000,100.0,100.0,23,,exp3,100.0,full_rebuild,Full-Rebuild,rule_change_ratio_percent,paper,,100.0,100.0,56,affected_agents,affected_agent_count,12.0
b,5000,100.0,100.0,28,,exp3,100.0,full_rebuild,Full-Rebuild,rule_change_ratio_percent,paper,,100.0,100.0,85,affected_agents,affected_agent_count,13.0
b,5000,100.0,100.0,24,,exp3,100.0,full_rebuild,Full-Rebuild,rule_change_ratio_percent,paper,,100.0,100.0,88,affected_agents,affected_agent_count,14.0
b,5000,100.0,100.0,15,,exp3,100.0,full_rebuild,Full-Rebuild,rule_change_ratio_percent,paper,,100.0,100.0,27,affected_agents,affected_agent_count,15.0
b,5000,4.3253150265560105,5.227596442984615,22,,exp3,4.744074419420538,local_only,Local-Only,rule_change_ratio_percent,paper,,4.711431742508324,7.941433566433565,42,affected_agents,affected_agent_count,3.0
b,5000,6.315808731221609,7.671615628074047,21,,exp3,6.926889957146332,local_only,Local-Only,rule_change_ratio_percent,paper,,7.0588235294117645,9.278350515463918,41,affected_agents,affected_agent_count,4.0
b,5000,8.417570992106889,10.694848282319208,27,,exp3,9.456978823876193,local_only,Local-Only,rule_change_ratio_percent,paper,,9.137291280148425,17.419354838709666,50,affected_agents,affected_agent_count,5.0
b,5000,13.41606678596605,15.525449458834908,23,,exp3,14.486005598296114,local_only,Local-Only,rule_change_ratio_percent,paper,,14.285714285714285,20.224719101123593,55,affected_agents,affected_agent_count,6.0
b,5000,14.312501307070793,18.69356330751566,21,,exp3,16.478105504292095,local_only,Local-Only,rule_change_ratio_percent,paper,,15.732323232323232,26.153846153846132,52,affected_agents,affected_agent_count,7.0
b,5000,17.529765069679527,20.89828971699326,21,,exp3,19.044226498363756,local_only,Local-Only,rule_change_ratio_percent,paper,,18.367346938775512,27.642293311175735,52,affected_agents,affected_agent_count,8.0
b,5000,21.568933183688628,24.724751538555203,28,,exp3,23.14675082200703,local_only,Local-Only,rule_change_ratio_percent,paper,,22.22222222222222,30.482401975918496,82,affected_agents,affected_agent_count,9.0
b,5000,25.614445889468765,30.314727910386093,22,,exp3,28.10662618327975,local_only,Local-Only,rule_change_ratio_percent,paper,,27.631578947368425,39.168768631047925,63,affected_agents,affected_agent_count,10.0
b,5000,27.17145587808028,33.052467217823796,15,,exp3,29.777613577248584,local_only,Local-Only,rule_change_ratio_percent,paper,,30.48780487804878,42.924369747899156,39,affected_agents,affected_agent_count,11.0
b,5000,31.823823262138102,37.0136257458097,23,,exp3,34.244587757082535,local_only,Local-Only,rule_change_ratio_percent,paper,,33.33333333333333,45.28724654716427,56,affected_agents,affected_agent_count,12.0
b,5000,34.62968783604008,39.97045969431842,28,,exp3,37.4400158580245,local_only,Local-Only,rule_change_ratio_percent,paper,,37.34939759036144,50.54945054945055,85,affected_agents,affected_agent_count,13.0
b,5000,37.53313085730846,42.97805510625127,24,,exp3,40.08183572916285,local_only,Local-Only,rule_change_ratio_percent,paper,,38.79186602870813,54.63267070008642,88,affected_agents,affected_agent_count,14.0
b,5000,38.597734575032106,45.11841344722455,15,,exp3,41.83158054365363,local_only,Local-Only,rule_change_ratio_percent,paper,,40.0,51.51969981238275,27,affected_agents,affected_agent_count,15.0
b,5000,46.775832460462546,57.61748550438205,22,,exp3,52.2720678144521,netren,NetRen*,rule_change_ratio_percent,paper,,54.96715927750411,85.63585434173666,42,affected_agents,affected_agent_count,3.0
b,5000,57.46562014184175,66.01413708332544,21,,exp3,61.856935651236434,netren,NetRen*,rule_change_ratio_percent,paper,,62.88659793814433,89.8876404494382,41,affected_agents,affected_agent_count,4.0
b,5000,56.41787187292563,68.9473240057169,27,,exp3,62.46288574915317,netren,NetRen*,rule_change_ratio_percent,paper,,64.42199775533109,88.82946167756293,50,affected_agents,affected_agent_count,5.0
b,5000,70.34518833583871,79.29880207794432,23,,exp3,75.1511899767981,netren,NetRen*,rule_change_ratio_percent,paper,,77.45098039215686,93.48987854251011,55,affected_agents,affected_agent_count,6.0
b,5000,66.54152754233769,80.78707075926707,21,,exp3,73.63496352650297,netren,NetRen*,rule_change_ratio_percent,paper,,78.8919413919414,90.625,52,affected_agents,affected_agent_count,7.0
b,5000,78.82232031690909,87.04824056417345,21,,exp3,83.27264584106352,netren,NetRen*,rule_change_ratio_percent,paper,,84.82605945604048,98.4578313253012,52,affected_agents,affected_agent_count,8.0
b,5000,77.6019823348173,86.1112390161841,28,,exp3,81.7291906070027,netren,NetRen*,rule_change_ratio_percent,paper,,84.02076318742985,98.91183574879226,82,affected_agents,affected_agent_count,9.0
b,5000,82.81922594206853,90.3314314076931,22,,exp3,87.00576691713626,netren,NetRen*,rule_change_ratio_percent,paper,,90.0990099009901,98.05040698244582,63,affected_agents,affected_agent_count,10.0
b,5000,85.91527058147442,92.22793420893031,15,,exp3,89.25248003935252,netren,NetRen*,rule_change_ratio_percent,paper,,89.53488372093024,100.0,39,affected_agents,affected_agent_count,11.0
b,5000,86.81674451892408,92.82587240069518,23,,exp3,89.91107565547684,netren,NetRen*,rule_change_ratio_percent,paper,,89.41176470588236,100.0,56,affected_agents,affected_agent_count,12.0
b,5000,87.71099052183246,94.35037908295647,28,,exp3,91.23098312907952,netren,NetRen*,rule_change_ratio_percent,paper,,93.26923076923077,100.0,85,affected_agents,affected_agent_count,13.0
b,5000,91.65730195160926,96.42929299319943,24,,exp3,94.44381808083682,netren,NetRen*,rule_change_ratio_percent,paper,,97.80193236714976,100.0,88,affected_agents,affected_agent_count,14.0
b,5000,91.02477392536731,97.13465981518063,15,,exp3,94.44526976255041,netren,NetRen*,rule_change_ratio_percent,paper,,96.29629629629629,100.0,27,affected_agents,affected_agent_count,15.0
b,5000,5.5721334798281745,6.876987102675838,22,,exp3,6.213081699688,proposed,Proposed,rule_change_ratio_percent,paper,,6.061224489795919,9.884734830387004,42,affected_agents,affected_agent_count,3.0
b,5000,8.548048516666276,10.601829587166046,21,,exp3,9.503442131526795,proposed,Proposed,rule_change_ratio_percent,paper,,9.411764705882353,14.000000000000002,41,affected_agents,affected_agent_count,4.0
b,5000,11.114770399810444,14.209167042947026,27,,exp3,12.543626868627994,proposed,Proposed,rule_change_ratio_percent,paper,,11.926308985132515,23.075127334465176,50,affected_agents,affected_agent_count,5.0
b,5000,17.34883098535023,19.71831331397152,23,,exp3,18.656462929812335,proposed,Proposed,rule_change_ratio_percent,paper,,19.230769230769234,27.368421052631582,55,affected_agents,affected_agent_count,6.0
b,5000,18.00918020406147,21.96033179007335,21,,exp3,19.99728741157694,proposed,Proposed,rule_change_ratio_percent,paper,,19.400352733686066,28.423180592991912,52,affected_agents,affected_agent_count,7.0
b,5000,23.81043826677934,26.5982903955685,21,,exp3,25.18860990124504,proposed,Proposed,rule_change_ratio_percent,paper,,25.126262626262626,33.11764705882352,52,affected_agents,affected_agent_count,8.0
b,5000,27.48852696115965,30.26337403843564,28,,exp3,28.885818441642257,proposed,Proposed,rule_change_ratio_percent,paper,,29.744371975594362,36.23272766837123,82,affected_agents,affected_agent_count,9.0
b,5000,32.12300251603352,35.857959817244485,22,,exp3,34.15060638982223,proposed,Proposed,rule_change_ratio_percent,paper,,33.663366336633665,44.723952738990334,63,affected_agents,affected_agent_count,10.0
b,5000,35.77049969076426,41.19892143737314,15,,exp3,38.19349423856648,proposed,Proposed,rule_change_ratio_percent,paper,,38.38383838383838,48.57820927723841,39,affected_agents,affected_agent_count,11.0
b,5000,40.72340267400303,45.844929374758145,23,,exp3,43.241859866560006,proposed,Proposed,rule_change_ratio_percent,paper,,43.15360272638754,53.81737476220672,56,affected_agents,affected_agent_count,12.0
b,5000,43.48326616731069,47.2379017044754,28,,exp3,45.41134904675536,proposed,Proposed,rule_change_ratio_percent,paper,,46.05263157894737,56.87396807925152,85,affected_agents,affected_agent_count,13.0
b,5000,48.122061831222716,52.174687844336134,24,,exp3,50.04052457380706,proposed,Proposed,rule_change_ratio_percent,paper,,49.75728155339806,60.72142857142857,88,affected_agents,affected_agent_count,14.0
b,5000,46.27664394165868,54.164599607787494,15,,exp3,50.625426278552204,proposed,Proposed,rule_change_ratio_percent,paper,,50.588235294117645,59.684527276257036,27,affected_agents,affected_agent_count,15.0
